Year,League,Winner
1960,NL,Vern Law
1961,AL,Whitey Ford
1962,NL,Don Drysdale
1963,NL,Sandy Koufax
1964,AL,Dean Chance
1965,NL,Sandy Koufax
1966,NL,Sandy Koufax
1967,NL,Mike McCormick
1968,NL,Bob Gibson
1969,NL,Tom Seaver
1970,NL,Bob Gibson
1971,NL,Fergie Jenkins
1972,NL,Steve Carlton
1973,NL,Tom Seaver
1974,NL,Mike Marshall
1975,NL,Tom Seaver
1976,NL,Randy Jones
1977,NL,Steve Carlton
1978,NL,Gaylord Perry
1979,NL,Bruce Sutter
1980,NL,Steve Carlton
1981,NL,Fernando Valenzuela
1982,NL,Steve Carlton
1983,NL,John Denny
1984,NL,Rick Sutcliffe
1985,NL,Dwight Gooden
1986,NL,Mike Scott
1987,NL,Steve Bedrosian
1988,NL,Orel Hershiser
1989,NL,Mark Davis
1990,NL,Doug Drabek
1991,NL,Tom Glavine
1992,NL,Greg Maddux
1993,NL,Greg Maddux
1994,NL,Greg Maddux
1995,NL,Greg Maddux
1996,NL,John Smoltz
1997,NL,Pedro Martinez
1998,NL,Tom Glavine
1999,NL,Randy Johnson
2000,NL,Randy Johnson
2001,NL,Randy Johnson
2002,NL,Randy Johnson
2003,NL,Eric Gagne
2004,NL,Roger Clemens
2005,NL,Chris Carpenter
2006,NL,Brandon Webb
2007,NL,Jake Peavy
2008,NL,Tim Lincecum
2009,NL,Tim Lincecum
2010,NL,Roy Halladay
2011,NL,Clayton Kershaw
2012,NL,R.A. Dickey
2013,NL,Clayton Kershaw
2014,NL,Clayton Kershaw
2015,NL,Jake Arrieta
2016,NL,Max Scherzer
2017,NL,Max Scherzer
2018,NL,Jacob deGrom
1967,AL,Jim Lonborg
1968,AL,Denny McLain
1969,AL,Mike Cuellar
1969,AL,Denny McLain
1970,AL,Jim Perry
1971,AL,Vida Blue
1972,AL,Gaylord Perry
1973,AL,Jim Palmer
1974,AL,Catfish Hunter
1975,AL,Jim Palmer
1976,AL,Jim Palmer
1977,AL,Sparky Lyle
1978,AL,Ron Guidry
1979,AL,Mike Flanagan
1980,AL,Steve Stone
1981,AL,Rollie Fingers
1982,AL,Pete Vuckovich
1983,AL,La Marr Hoyt
1984,AL,Willie Hernandez
1985,AL,Bret Saberhagen
1986,AL,Roger Clemens
1987,AL,Roger Clemens
1988,AL,Frank Viola
1989,AL,Bret Saberhagen
1990,AL,Bob Welch
1991,AL,Roger Clemens
1992,AL,Dennis Eckersley
1993,AL,Jack McDowell
1994,AL,David Cone
1995,AL,Randy Johnson
1996,AL,Pat Hentgen
1997,AL,Roger Clemens
1998,AL,Roger Clemens
1999,AL,Pedro Martinez
2000,AL,Pedro Martinez
2001,AL,Roger Clemens
2002,AL,Barry Zito
2003,AL,Roy Halladay
2004,AL,Johan Santana
2005,AL,Bartolo Colon
2006,AL,Johan Santana
2007,AL,CC Sabathia
2008,AL,Cliff Lee
2009,AL,Zack Greinke
2010,AL,Felix Hernandez
2011,AL,Justin Verlander
2012,AL,David Price
2013,AL,Max Scherzer
2014,AL,Corey Kluber
2015,AL,Dallas Keuchel
2016,AL,Rick Porcello
2017,AL,Corey Kluber
2018,AL,Blake Snell
